,x,y,time
0,40,125,1663830639.6483955
1,188,325,1663830646.4433098
2,289,297,1663830655.848323
3,41,278,1663830660.8923106
4,290,237,1663830666.3282757
5,704,80,1663830669.9751103
6,684,60,1663830679.6671038
7,262,92,1663830686.4269576
